site		Rangali Island, Maldives
date		05/09/03
time		AM
depth		29.9
divetime	40
tank		alu
pressure	210
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		Deep dive
comments	Saw lion fish, box fish, rockfish, stingray, octopus, tuna. cool site
############################################################################
id		11
location	Rangali House Reef (sand pool)
site		Rangali Island, Maldives
date		05/09/03
time		PM
depth		10.2
divetime	64
tank		alu
pressure	140
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		Murky water - navigation dive
comments	Lion fish, nudibranch
############################################################################
id		12
location	Madivaru Thila
site		Rangali Island, Maldives
date		06/09/03
time		AM
depth		22.7
divetime	60
tank		alu
pressure	170
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		None
comments	Rockfish (2), several moray eels. Small thila with nice overhangs and beautiful coral formations
############################################################################
id		13
location	Rangali House Reef (Sunset Grill)
site		Rangali Island, Maldives
date		06/09/03
time		NI
depth		6.1
divetime	38
tank		alu
pressure	70
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		Night dive
comments	Lion fish, cleaning shrimp, sleeping parrot fish, blowfish. Dive ended early due to stingray attack.
############################################################################
id		14
location	WZ Tiefenbrunnen, Zurich Lake
site		Zurich, Switzerland
date		08/11/03
time		AM
depth		10
divetime	20
tank		alu
pressure	70
volume		10
air		Air
kilos		10
suit		drysuit
buddy		Reima Holopainen
guide		Michael Meier
link		None
tech		Dry suit course
comments	Bad visibility in lake, very cold
############################################################################
id		15
location	WZ Tiefenbrunnen, Zurich Lake
site		Zurich, Switzerland
date		08/11/03
time		PM
depth		11
divetime	29
tank		alu
pressure	70
volume		10
air		Air
kilos		10
suit		drysuit
buddy		Reima Holopainen
guide		Michael Meier
link		None
tech		dry suit course
comments	Bad visibility in lake. Saw boat wreck, one dead fish...
############################################################################
id		16
location	Mols Hafen, Walensee
site		Switzerland
date		09/11/03
time		AM
depth		22.9
divetime	19
tank		alu
pressure	70
volume		10
air		Air
kilos		10
suit		drysuit
buddy		Reima Holopainen
guide		Michael Meier
link		None
tech		Dry suit course
comments	Good visibility in lake, cold, nice green algae
############################################################################
id		17
location	El Quadim (right)
site		Moevenpick El Quseir, Egypt
date		04/06/04
time		AM
depth		18.6
divetime	53
tank		fe
pressure	120
volume		15
air		Air
kilos		4
suit		shorty
buddy		Kim-Vy Tran
guide		Tanya
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Right bank of bay. Saw blue-spotted stingray, rockfish, mackerels, lionfish
############################################################################
id		18
location	El Quadim (middle to right)
site		Moevenpick El Quseir, Egypt
date		04/06/04
time		PM
depth		23.9
divetime	58
tank		fe
pressure	120
volume		15
air		Air
kilos		4
suit		shorty
buddy		Kim-Vy Tran
guide		Stefan
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Middle of bay to right and back. Saw rockfish, clownfish, scorpion fish, lion fish
############################################################################
id		19
location	El Quadim (left)
site		Moevenpick El Quseir, Egypt
date		05/06/04
time		AM
depth		21.0
divetime	59
tank		fe
pressure	130
volume		15
air		Air
kilos		4
suit		shorty
buddy		Kim-Vy Tran
guide		Marco Notter
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Left bank of bay. saw yellow spotted puffer, blue-spotted stingray, salad coral, huge moray eel
############################################################################
id		20
location	El Makluf (Jeep Safari)
site		Near Safah, Egypt
date		05/06/04
time		PM
depth		31.3
divetime	46
tank		fe
pressure	140
volume		15
air		Air
kilos		4
suit		shorty
buddy		Stefan
guide		Stefan
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Entrance trough cove, deep dive. Saw lionfish, neon anemone, trigger fish, large lionfish (35 - 40cm), red-yellow seastar, napoleon
############################################################################
id		21
location	El Quadim (middle to right)
site		Moevenpick El Quseir, Egypt
date		06/06/04
time		PM
depth		31.6
divetime	57
tank		fe
pressure	180
volume		12
air		EAN32
kilos		4
suit		shorty
buddy		Kim-Vy Tran
guide		Stephan
link		https://katzgraber.org/album/album29/index.html
tech		Nitrox course
comments	Saw little white moray eel, several lionfish, flounder family
############################################################################
id		22
location	El Quadim (left)
site		Moevenpick El Quseir, Egypt
date		07/06/04
time		AM
depth		24.4
divetime	62
tank		fe
pressure	170
volume		12
air		EAN36
kilos		4
suit		shorty
buddy		Kim-Vy Tran
guide		Sabine
link		https://katzgraber.org/album/album29/index.html
tech		Nitrox course
comments	Left bank of bay. Saw barracuda, dotted stingray, leopard flounder, peppered moray eel, giant moray eel
############################################################################
id		23
location	El Quadim (right, Zodiac)
site		Moevenpick El Quseir, Egypt
date		07/06/04
time		PM
depth		24.1
divetime	66
tank		fe
pressure	160
volume		15
air		Air
kilos		4
suit		shorty
buddy		Kim-Vy Tran
guide		Marco
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Took Zodiac to right side of bay. Saw torpedo ray, stone fish (3), titan triggerfish, eggs of Spanish dancer, giant moray eel, octopus, clear fin lionfish
############################################################################
id		24
location	El Quadim (right)
site		Moevenpick El Quseir, Egypt
date		07/06/04
time		NI
depth		17.2
divetime	56
tank		fe
pressure	130
volume		15
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Tobias
link		https://katzgraber.org/album/album29/index.html
tech		Night dive
comments	Went over right side of bay. Saw sleeping parrotfish (60cm), scorpionfish, shrimp, sawtooth feather seastar, tubeworms, hermit crab (15cm), sleeping raccoon fish
############################################################################
id		25
location	El Quadim (left, Zodiac)
site		Moevenpick El Quseir, Egypt
date		08/06/04
time		AM
depth		26.6
divetime	76
tank		fe
pressure	110
volume		15
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Marko
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Took Zodiac to left side of bay. Nice dive. Saw several fish: Cigar wrasse, clown sand wrasse, masked puffer fish, anemone with clown fish, yellow saddle goatfish, birdwrasse, soldierfish, Picasso
############################################################################
id		26
location	El Quadim (right, Zodiac)
site		Moevenpick El Quseir, Egypt
date		08/06/04
time		PM
depth		23.2
divetime	75
tank		fe
pressure	150
volume		15
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Marko
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Took Zodiac to right side of bay. Saw tuna, spotted unicornfish, Arabic boxfish, pipefish, wrasse, barracudas, white moray eel, giant moray eel, lionfish
############################################################################
id		27
location	El Quadim (right)
site		Moevenpick El Quseir, Egypt
date		09/06/04
time		AM
depth		24.5
divetime	61
tank		fe
pressure	150
volume		15
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Tanya
link		https://katzgraber.org/album/album29/index.html
tech		None
comments	Right side of bay. Saw a scorpionfish, large squids, boxer shrimp, coral scorpionfish, spotted lionfish, christmastree worms, pufferfish
############################################################################
id		28
location	Chania (Blue Adventure Divers)
site		Crete
date		07/08/04
time		AM
depth		16.0
divetime	47
tank		alu
pressure	130
volume		10
air		Air
kilos		6
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album31/index.html
tech		Open cave dive
comments	Extremely bad and unprofessional service from the caterers. Saw some fans and sponges, few fish. Some amphorae
############################################################################
id		29
location	Chania (Blue Adventure Divers)
site		Crete
date		07/08/04
time		PM
depth		9.8
divetime	54
tank		alu
pressure	110
volume		10
air		Air
kilos		6
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album31/index.html
tech		None
comments	Shallow and boring dive. Nothing to see.
############################################################################
id		30
location	Islamorada (via Ocean Quest Dive Center)
site		Florida Keys, USA
date		22/11/04
time		AM
depth		8.1
divetime	43
tank		alu
pressure	90
volume		10
air		EAN32
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Unguided
link		https://katzgraber.org/album/album32/index.html
tech		None
comments	Unguided dive. choppy sea (Vy got seasick). Saw some flutefish, puffer fish, fish schools, soft corals, brain corals (2), sponges
############################################################################
id		31
location	Tenements 2
site		Heron Island, Australia
date		30/12/04
time		AM
depth		20.1
divetime	46
tank		alu
pressure	150
volume		10
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album33/index.html
tech		None
comments	Saw stingrays (2), white-tip reef shark (2m), nudibranch, blowfish, schools of fish
############################################################################
id		32
location	Pam's Bommie
site		Heron Island, Australia
date		30/12/04
time		PM
depth		16.6
divetime	49
tank		alu
pressure	150
volume		10
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album33/index.html
tech		None
comments	Saw manta ray (4m, 2m)m white-tip reef shark (2m), napoleon (1m), blue grouper (1.5m), potato code, barramundi cod
############################################################################
id		33
location	North Bommie
site		Heron Island, Australia
date		31/12/04
time		AM
depth		18.1
divetime	48
tank		alu
pressure	160
volume		10
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album33/index.html
tech		None
comments	Saw 2 white-tip reef sharks, 3 turtles, stingray, nudibranch, many glass fish, large octopus
############################################################################
id		34
location	Gorgonia Hole to Canyon
site		Heron Island, Australia
date		31/12/04
time		PM
depth		12.4
divetime	52
tank		alu
pressure	160
volume		10
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album33/index.html
tech		None
comments	Several nudibranches, large octopus, large moray eel, gorgonia fans. Beautiful coral canyon
############################################################################
id		35
location	Tenements 1
site		Heron Island, Australia
date		01/01/05
time		AM
depth		16.6
divetime	47
tank		alu
pressure	160
volume		10
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album33/index.html
tech		None
comments	Saw 3 different nudibranches, turtle, nurse shark, moray eel, rock fish, stingray, yellow boxfish. Nice coral formations
############################################################################
id		36
location	Wistari 1 to Coral Grotto
site		Heron Island, Australia
date		01/01/05
time		AM
depth		16.9
divetime	48
tank		alu
pressure	120
volume		10
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album33/index.html
tech		None
comments	Saw barramundi cod, feather stars, large school of silver tip, remora sticking to diver
############################################################################
id		37
location	Gorgonia Hole to Plate Ledge Canyon
site		Heron Island, Australia
date		01/01/05
time		PM
depth		12.7
divetime	51
tank		alu
pressure	140
volume		10
air		Air
kilos		4
suit		Shorty
buddy		Kim-Vy Tran
guide		Name unknown
link		https://katzgraber.org/album/album33/index.html
tech		None
comments	Saw reef shark, several nudibranches, huge long-fin batfish,large yellow boxfish
############################################################################
id		38
location	Ermitage, Zurich Lake
site		Kuessnacht, Switzerland
date		17/07/05
time		AM
depth		14.9
divetime	20
tank		fe
pressure	80
volume		12
air		Air
kilos		6
suit		Full 7mm
buddy		Nadine
guide		Peter Leimgruber
link		None
tech		Rescue diver course, Praxis II
comments	Coldest dive ever. Should have worn a hood.
############################################################################
id		39
location	Ermitage, Zurich Lake
site		Kuessnacht, Switzerland
date		16/07/05
time		AM
depth		8.0
divetime	180
tank		fe
pressure	80
volume		12
air		Air
kilos		6
suit		full 7mm
buddy		Urs
guide		Karin Leimgruber
link		None
tech		Rescue diver course, rescue scenarios and exercises I - IV
comments	Note that divetime is cumulative over course length
############################################################################
id		40
location	Ermitage, Zurich Lake
site		Kuessnacht, Switzerland
date		17/07/05
time		AM
depth		8.0
divetime	150
tank		fe
pressure	60
volume		12
air		Air
kilos		6
suit		full 7mm
buddy		Urs
guide		Peter Leimgruber
link		None
tech		Rescue diver course, rescue scenarios and exercises V - VII
comments	None
############################################################################
id		41
location	Ermitage, Zurich Lake
site		Kuessnacht, Switzerland
date		24/07/05
time		AM
depth		6.4
divetime	60
tank		fe
pressure	80
volume		12
air		Air
kilos		6
suit		full 7mm
buddy		Urs
guide		Peter Leimgruber
link		None
tech		Rescue diver course, rescue scenarios and exercises VIII and IX
comments	None
############################################################################
id		42
location	Ermitage, Zurich Lake
site		Kuessnacht, Switzerland
date		24/07/05
time		AM
depth		6.4
divetime	60
tank		fe
pressure	50
volume		12
air		Air
kilos		6
suit		full 7mm
buddy		Urs
guide		Peter Leimgruber
link		None
tech		Rescue diver course, rescue scenarios and exercise X
comments	None
############################################################################
id		43
location	Ermitage, Zurich Lake
site		Kuessnacht, Switzerland
date		24/07/05
time		AM
depth		25
divetime	21
tank		fe
pressure	80
volume		12
air		Air
kilos		6
suit		full 7mm, hood and jacket
buddy		Urs
guide		Peter Leimgruber
link		None
tech		None
comments	Dive in the Zurich lake. It was cold and there was not much to
see
############################################################################
id              44
location        El Quadim (left) 
site            Moevenpick El Quseir, Egypt
date            05/08/05
time            AM
depth           21.6
divetime        67
tank            fe
pressure        150
volume          12
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Claudia
link            https://katzgraber.org/album/album39/index.html
tech            None
comments        Left bank of bay. Several lionfish and blue-spotted stingrays, Spanish dancer eggs, baby clownfish, fusiliers, glass-eye fish, bandit puffer
############################################################################
id              45
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            05/08/05
time            PM
depth           17.6
divetime        73
tank            fe
pressure        170
volume          12
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Alex
link            https://katzgraber.org/album/album39/index.html
tech            None
comments        Right side of bay. Several carpet flatheads, lionfish, baby emperor fish, large hermit crab, giant moray eel, pipefish, Indian tubeworm, xmas tree worm.
############################################################################
id              46
location        El Quadim (left, Zodiac)
site            Moevenpick El Quseir, Egypt
date            06/08/05
time            AM
depth           22.6
divetime        67
tank            fe
pressure        180
volume          12
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Mohammed
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Took Zodiac to left side of bay. Large scorpionfish, octopus, three cuttlefish, lionfish, emperor baby, napoleon, bandit puffers.
############################################################################
id              47
location        El Quadim (center to right)
site            Moevenpick El Quseir, Egypt
date            06/08/05
time            PM
depth           26.5
divetime        67
tank            fe
pressure        180
volume          12
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Alex
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Went to center block of bay. Saw banded boxer shrimp, red sea walkman, clownfish, lionfish, blabkbreasted pipefish.
############################################################################
id              48
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            07/08/05
time            AM
depth           19.7
divetime        63
tank            fe
pressure        170
volume          12
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Petzi
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Left side of bay (better in the morning). Saw large stonefish, leopard flounder, dancing shrimp, feather-tail stingray, devil scorpionfish, 1.2m snapper.
############################################################################
id              49
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            07/08/05
time            PM
depth           21.5
divetime        53
tank            fe
pressure        170
volume          12
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Right side of bay. Saw octopus, barbed lionfish, emperor baby, potato cod, red sea fan.
############################################################################
id              50
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            08/08/05
time            AM
depth           23.5
divetime        66
tank            fe
pressure        190
volume          12
air             EAN32
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Left side of bay. Poor visibility due to strong winds. Saw masked puffers, rockfish, large snapper, glass-ball algae, eggs of Spanish dancer, spotted rays.
############################################################################
id              51
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            08/08/05
time            PM
depth           21.1
divetime        66
tank            fe
pressure        140
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Right side of bay. Black spotted sweetlip, school of goatfish, two sepia, short-nose unicorn fish, yellow boxfish, cigar wrasse.
############################################################################
id              52
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            08/08/05
time            NI
depth           13.3
divetime        70
tank            fe
pressure        110
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Andreas
link            https://katzgraber.org/album/album39/index.html
tech            Night dive
comments	Large yellow-spotted blowfish, several urchins, sepia, dancing shrimp, yellow anemone, large grouper hunting in the lights, photoluminiscent plankton.
############################################################################
id              53
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            09/08/05
time            AM
depth           19.8
divetime        61
tank            fe
pressure        180
volume          12
air             EAN32
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Right side of bay. Saw school of fusiliers, bandit puffers, graceful partner goby with borrowing shrimp.
############################################################################
id              54
location        El Khaf (Safari)
site            Moevenpick El Quseir, Egypt
date            09/08/05
time            PM
depth           22.1
divetime        64
tank            fe
pressure        150
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            Jeep Safari north of El Quseir
comments	Saw bubble coral with garnel, barracudas, lionfish, stonefish, several masked puffers, beautiful coral garden, flathead scorpionfish.
############################################################################
id              55
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            10/08/05
time            AM
depth           22.1
divetime        68
tank            fe
pressure        130
volume          15
air             Air
kilos           4
suit            shorty
buddy           Anette
guide           Pluesh
link            https://katzgraber.org/album/album39/index.html
tech            Early morning dive
comments	Left side of bay. Saw a varicose wart slug. School of fusiliers, trigger fish, octopus, two large moray eels, garden eels, clown fish.
############################################################################
id              56
location        El Quadim (right, Zodiac)
site            Moevenpick El Quseir, Egypt
date            10/08/05
time            PM
depth           20.3
divetime        101
tank            fe
pressure        140
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Alex
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Took Zodiac to right side of bay. Very long and relaxing dive. Saw school of snappers and barracudas, lionfish, yellow boxfish, huge white-spotted puffer, Egyptian seastar, sepia, emperor angelfish, pointy snail. 
############################################################################
id              57
location        El Quadim (left, Zodiac)
site            Moevenpick El Quseir, Egypt
date            11/08/05
time            AM
depth           27.9
divetime        70
tank            fe
pressure        130
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Alex
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Took Zodiac to left side of bay. Saw family of clown fish, large snapper, common and clear-fin lionfish, red sea garden eels, giant moray eel.
############################################################################
id              58
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            11/08/05
time            PM
depth           21.7
divetime        82
tank            fe
pressure        160
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Right side of bay. Saw a red sea walkman, lionfish, spotted sweetlip, dragonfish, hermit crab, clownfish.
############################################################################
id              59
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            12/08/05
time            PM
depth           19.4
divetime        82
tank            fe
pressure        160
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments        Right side of bay. Saw a red sea walkman, giant moray eel, marbled snake eel, clownfish, Arabian boxfish, yellow boxfish.
############################################################################
id              60
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            13/08/05
time            AM
depth           30.0
divetime        76
tank            fe
pressure        160
volume          15
air             EAN32
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Left side of bay. Saw yellow and Arabian boxfish, crossway bands sandperch, garden eels, several lionfish.
############################################################################
id              61
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            13/08/05
time            NI
depth           16.4
divetime        66
tank            fe
pressure        130
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Mohammed
link            https://katzgraber.org/album/album39/index.html
tech            Night dive
comments	Left side of bay. At night excellent to see Spanish dancers. Saw 5 Spanish dancers, 1.8m potato grouper, sleeping parrot and puffer fish, snappers, feather stars, anemone carrier.
############################################################################
id              62
location        El Quadim (middle to right)
site            Moevenpick El Quseir, Egypt
date            14/08/05
time            PM
depth           26.8
divetime        67
tank            fe
pressure        130
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Alex
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Middle of bay. Saw 1.0m great barracuda, dancing shrimp, anemone partner shrimp, varicose wart slug, black-line fangblenny.
############################################################################
id              63
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            15/08/05
time            AM
depth           20.0
divetime        81
tank            fe
pressure        130
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Left side of bay. Saw baby emperor angelfish, clown lipfish, clown sand wrasse, black-line fangblenny, blue triggerfish, scribbled leatherjacket.
############################################################################
id              64
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            15/08/05
time            PM
depth           19.4
divetime        74
tank            fe
pressure        160
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Right side of bay. Saw a black-line fangblenny, red sea walkman, flathead scorpionfish, red sea squid, large urchin, starry goby.
############################################################################
id              65
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            15/08/05
time            NI
depth           19.2
divetime        67
tank            fe
pressure        150
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            Night dive
comments	Left side of bay. Saw 4 Spanish dancers, two mating, splendid coral crab, feather stars, several pairs of clear-fin clownfish, strawberry topshell.
############################################################################
id              66
location        El Quadim (left)
site            Moevenpick El Quseir, Egypt
date            16/08/05
time            AM
depth           30.2
divetime        73
tank            fe
pressure        150
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Left side of bay. Saw two giant moray eels, red sea garden eels in the sandbank after the salad coral, giant grouper, titan triggerfish, two porcupinefish.
############################################################################
id              67
location        El Quadim (right)
site            Moevenpick El Quseir, Egypt
date            16/08/05
time            PM
depth           23.1
divetime        73
tank            fe
pressure        140
volume          15
air             Air
kilos           4
suit            shorty
buddy           Kim-Vy Tran
guide           Unguided
link            https://katzgraber.org/album/album39/index.html
tech            None
comments	Right side of bay. Saw an Arabian boxfish, two giant moray eels, varicose wart slug, flathead scorpionfish, squids and a green sea turtle.
############################################################################
id		68
location	Wakatobi House Reef
site		Wakatobi Dive Resort, Sulawesi, Indonesia
date		07/04/06
time		PM
depth		15.0
divetime	59
tank		alu
pressure	160
volume		15
air		Air
kilos		4
suit		shorty
buddy		Kim-Vy Tran
guide		Chris
link		https://katzgraber.org/album/album45/index.html
tech		medium current
comments	Saw a halimeda ghost pipe fish, many sponges, turtle, clear-fin lionfish
############################################################################
id		69
location	Wakatobi House Reef
site		Wakatobi Dive Resort, Sulawesi, Indonesia
date		08/04/06
time		AM
depth		11
divetime	84
tank		alu
pressure	150
volume		15
air		EAN32
kilos		5
suit		shorty
buddy		Kim-Vy Tran
guide		Unguided
link		https://katzgraber.org/album/album45/index.html
tech		Unguided dive, low current.
comments	Saw 40cm lion fish, nudibranch, clownfish family, 1.5m potato cod
############################################################################
id		70
location	Wakatobi House Reef
site		Wakatobi Dive Resort, Sulawesi, Indonesia
date		08/04/06
time		PM
depth		25
divetime	69
tank		alu
pressure	190
volume		15
air		EAN32
kilos		5
suit		shorty
buddy		Kim-Vy Tran
guide		Iman
link		https://katzgraber.org/album/album45/index.html
tech		None
comments	Saw several nudi branches, scorpionfish, large ray
############################################################################
id		71
location	Fan 38 East
site		Wakatobi Dive Resort, Sulawesi, Indonesia
date		09/04/06
time		AM
depth		23.9
divetime	71
tank		alu
pressure	160
volume		15
air		EAN32
kilos		5
suit		shorty
buddy		Kim-Vy Tran
guide		Iman
link		https://katzgraber.org/album/album45/index.html
tech		None
comments	Saw several nudi branches, puffer. Beautiful fan corals.
############################################################################
id		72
location	Conchita Reef
